Title,Date,Rating,Thumbs_up,Thumbs_down,Description
3 seasons on air and better than ever!,"Sep 29, 2005",N/A,2,2,"This is one of the funniest shows on TV today, with a stellar cast. Written by Chuck Lorre, who wrote ""Dharma and Greg,"" and episodes of ""Roseanne"" and ""Cybil,"" the episodes are tightly-woven and cleverly written, with sharp-witted observations by Charlie Sheen, Jon Cryer, Angus T. Jones, Holland Taylor, and Conchata Ferrell; they are all first-rate. The show has won several awards in the three seasons it's been on, including an Emmy or two.

In the series, Charlie Harper (Sheen), an ad jingle writer and a consummate bachelor/ womanizer lives alone in his beach house in Malibu, until his brother Alan (Cryer), an uptight ""sensitive guy"" chiropractor, is divorced by his bitchy wife. He comes to live with Charlie, and his smart-mouthed son (Jones) joins them on weekends (and it always seems to be a weekend at Charlie's house). The cast is well-seasoned by their mother (Holland Taylor) and their ferocious housekeeper (Conchata Ferrell), as well as neurotic neighbor and former bed partner Rose.

The theme song is the most memorable, catchy tune on TV today, both versions; it was written by Chuck Lorre. As in ""Dharma and Greg,"" he runs vanity cards at the end of each episode."
A Great show but some obvious mistakes,"Sep 24, 2009",10,2,4,"Well the show is going great, I mean the characters r going good, the plot is still interesting and the dialog makes it one of the best sitcoms.

Charlie is really a wonderful character, there's not enough to act though for CHARLIE.

Alan wow, the character is goofy, slow, retarded but the acting done by Jon Cryer is the best act of the series.

Jake is fine but he is still learning acting.

My favorite are Alan and Evelyn. Both have done great work and the writers off course have done a mind blowing job.

There have been many mistakes during the show. Like in some episodes Charlie while using iPhone did hold it wrong(upside down) while calling. I mean come on man ppl other than u have iPhones, they know where the Mic and the speaker are. Another mistake u ppl might have noticed, At the start of season 7, Charlie is about to Merrie a girl named ""chelsie"", who first appeared in the pilot of the series as an extra at a shopping store and then she appears in season 2, episode 11, as a girl who Charlie goes for confession and her name is ""Tina"" here."
Here's my take on it,"Sep 10, 2008",10,2,4,"Okay, for a while I heard about Two and a Half Men. I just rolled my eyes at it, even though it intrigued me that Martin Sheen guest stared in it and I do like Charlie Sheen a lot. But I didn't think I would like the humor. Boy was I wrong! Here I was, flipping the channels and I came across it. I didn't know any of the characters, any of the plots, but within five minutes it already had me laughing like crazy. I've only seen a handful of episodes here and there but each time I stop to watch it, I end up watching the whole episode. Been a while since a sitcom has done that for me. Remindes me of the good whole days when you had quality comedy like 3rd Rock From the Sun, Fraiser, Friends, Home Improvement, and Whose Line Is It Anyway. Really the only decent sitcom that's airing right now, especially since they had canceled Knights of Prosperity. Try watching it for five minutes without at least chuckling. Go on, I dare you."
best comedy show ever .. !!,"Dec 7, 2007",10,2,4,"the best comedy ever..

I never saw as fun as this..

every episode my eyes tears from laughing..

one of the best episodes, in season 5, when Charlie sings for children in a concert, he didn't had the guts to go on stage, so he goes drunk !!.

after the song ""goodbye boobies"", he said: ""who love boobies ?"", and the children said: ""Charlie .."", in that moment, i couldn't breath , i paused the episode, and i laughed and laughed and laughed ...

believe me, this is the best comedy you can get.."
Boring !,"Nov 17, 2003",1,14,21,"I tried to watch this show...once! It's boring. Sheen & Cryer are not funny, and that kid.....Zzzzzzzzz. At least all three of the leads have one thing in common......they can't act. Sheen was good in ""Platoon"", but that was a long time ago. Cryer was pretty good in ""Dudes"", but that was also a long time ago. And that kid....well he hasn't had a long time ago, and the way he acts...he won't."
Not funny,"Dec 27, 2014",1,4,3,"I tried a few episodes from the Sheen days then a few from the Kutcher days. Unfortunately, none of them made me laugh, even when the boy was there.

The jokes felt a bit forced and the nonstop inappropriate jokes were just too much. That combined with with a laugh track makes it pretty unbearable.

I'm surprised that the show is as popular as it is and that it lasted this long. It's one of those shows where if it hits your sense of humor, you may find it hilarious. If it misses your sense of humor like it did mine, you will probably find it pretty painful."
Pretty good show,"Jan 15, 2004",N/A,4,8,"I've always liked Charlie Sheen, and thought he did a fine job replacing Michael J. Fox on ""Spin City,"" so I was looking forward to seeing him on another sitcom. The two episodes I've seen were pretty funny. Sheen and John Cryer have a good chemistry. They have worked together before on ""Hot Shots."" Cryer is kind of a dull actor and I'm not a big fan of him, but he just serves as the straight man. Sheen provides most of the laughs, and he's great at delivering one-liners with pitch-perfect timing. So far, CBS has been coming out with the best shows. This is another fine addition to the Monday night lineup.

My score: 7 (out of 10)"
Go Charlie,"Feb 24, 2015",10,1,1,"In my opinion, Charlie Sheen was one of the best reasons that made this show an Amazing hilarious show ( Two and a Half Men is my favorite show and will always love to watch it) but You can't just try to destroy his image in the last episode, and try to turn his character into a monster or whatever that was!!! Sorry but disappointed! That wasn't cool to attack one of the best reasons for your success! And by the way, even if you say that ""trying"" anger management ""didn't work"" i still love it, and support Charlie Sheen. It is hurtful to hear ""didn't work"" from Alan! Wow that was too much man!! No disrespect, but it is disappointing to see this fight after all the brilliant job that you've done together :("
The last esse the best,"Mar 18, 2021",10,1,1,Keeping the proportions of Charlie Sheen and his madness having ended the series. the last episode was the best in history. congratulations chuck lorre
"I'm talking about ""Two and a half men"" not the desperate remakes","Jun 4, 2016",10,1,1,"Two and a half men (from season 1 to season 8) is the best sitcom i've ever seen in my whole life، the big differences between the characters is what made this show extremely hilarious! the jokes are crazy the cast are PERFECT there is not much of romance، drama or lousiness but only pure comedy which happens to be this show's category! i've seen other works for Chuck Lorre like ""The big bang theory"" and even him probably know that this show is no good and has nothing to do with comedy. The guy have messed up one of the greatest sitcoms in the world، so thank you Chuck! since charlie sheen left the show it became ""Three boring men"" with so much in common between the characters the show bored me to death. and after Jake was gone they realized the importance of having a new charlie in the show so they brought a girl who's supposed to be charlie's daughter! but is it Two and a half men again? no it's not! so at the last season they decided to bring a child to the crew that replaces Jake but it didn't work out either! but still every time i think of giving it a rate lower than 10 i remember the first 8 seasons and realize it's a huge mistake not to give it a 10/10 rating. RIP Two and a half men."
The New Charlie,"May 16, 2011",1,4,3,"Do not let anyone, exspecially Ashton Kutcher take over or come in as a replacement for Charlie Sheen. If Charlie will not be able to come back, then cancel the show! It will not last without him, and Ashton is not Charlie! I mean you guys wrote this for Charlie, what did you expect when he lived up to his reputation, not only in the show but in real life! Geeeee, lets give him money(lots of money) to play basically himself, and see where that leads! It led to one of the best shows on TV, and a train wreck for him! Instead of replacing him, help him and get the show back to what it was or just quit while your ahead! And thats all I have for you right now.By the way i am yelling this!"
This review is for Charlie sheen,"Aug 10, 2021",10,1,1,1st 7 seasons were ridiculously amazing Laugh riot . Never have I ever laughed so much watching a TV series.
Misogyny throughout!,"Jun 12, 2021",1,8,10,"It is sad so many people love this misogynistic series. It destroys the minds of the sad souls that find it funny. The way women are portrayed in this series, no wonder not many men can talk to women, have terrible misconceptions and can even be dangerous in our society.

Some young men watching this would want to be that cassanova, but then go into society and behaving foolishly, reducing their chances of being kind or gentle, or even themselves.

No wonder you cannot relate to women in your life.

Want to laugh whilst having better female and male role models? Try friends!"
almost boring,"Sep 29, 2014",N/A,3,5,"the good intentions are the basis of series. the desire to explore each possibility of hilarious scene, the mixture between vulgarity and same stereotypes, the desire to resurrect a death script because each event was exhausted and the lost of Charlie Sheen not was the most inspired option. but the real problem is Angus T. Jones. his grow-up transforms the series in a too long collection of fake situations. Ashton Kuncher is far to be the best answer to crisis. so, a series who, season by season, becomes almost boring. the ideas are too fragile, the humor - too low. and the charm from beginning - lost at whole. a series. like many others. who has the ambition to survive more than the desire to represent a good job."
THE best sitcom,"Jul 14, 2020",10,1,1,"I love this show, everything about it is incredibly enjoyable. Seasons 1 - 8 are the classics where Charlie Sheen was still in the show, his lifestyle and attitude towards his Brother Alan and his Nephew Jake is hilarious, the way that Charlie and Alan banter off each other makes you wish that they were actually brothers in real life. Personally after Charlie left and Actor Ashton Kutcher steppes in I found the episodes to be just as enjoyable. You can't watch it thinking it's gonna be the same as when Charlie Sheen was in it, it takes a completely different approach but they still make it work. For me personally Two And A Half men will always remain a 10/10 with and without Charlie Sheen."
It was better with Charlie Sheen,"Oct 6, 2021",8,1,1,"I really thought that Charlie had died for real! The TV show went down hill after he left, or died, or whatever."
"Maybe the best comedy show, ever.","Aug 27, 2021",9,1,1,"I think, if had to choose the best comedy series ever, at least judging form early years, it is this show.

I have the chance to see them from the very first season and it is what i needed. Small in length, full of smart lines. This and Kominsky method are my favorites. I laugh and this is their goal....."
Season 9 isn't funny,"Oct 18, 2011",3,5,5,"I've purchased the first five episodes from iTunes, but it's just not funny. At all. Five chances, no laughs. The biggest problem is the writing. Without the laugh track, it would be hard to know what's supposed to be funny. The second biggest problem is the choice of new actors. I have no idea if Ashton Kutcher can be funny, but he's got nothing to work with here. I sure understand why Charlie Sheen was replaced... but he WAS funny. Courtney Thorne-Smith completely loses me as Jon Cryer's girlfriend, she is so bland, I want to fast forward through her scenes. Those two have nothing in common and she could (and would in real life) do better. Conchata Ferrell and Jon Cryer need better lines, The boy who plays Jake grew up and just isn't the funny little kid he was, and unfortunately didn't grow into a funny teen. I feel like the show tried to buy known actors to get out of the slump and it hasn't worked. There are a lot of problems, which makes me doubtful this show can be fixed. I have ideas, however. Call me CBS."
Let's talk about the time it actually was great.,"Apr 13, 2015",9,1,1,"There are many reviews where someone is just talking about how the later seasons just plain suck. And there's no questioning it. They DO suck. But I can somewhat ignore those seasons when I watch an earlier episode and am reminded of how hilarious the show used to be.

At first, it was nothing special for me. Just a show I'd casually watch or have in the background. But one day I decided to buy the complete first season on DVD. You wonder why? Well, I did get furious at the stupid Walden character already back when he was introduced, but I wasn't quite sure of HOW much I liked the seasons before that. So it was pretty much a total dare to buy the box set. I actually had no flippin' clue if I would become a real fan or not.

I watched the first episode. I found it awesome. I watched a couple more. They were awesome too. Halfway into the season, I had already become a fan. Now when I had started watching it chronologically, I payed more attention to all the various characters, jokes and plots. That way, I found the show a whole lot more entertaining than I did before. And when I got to the third season, I DIED laughing. I had arrived to the best season of the entire show. The jokes were sharper than ever and the Harper brothers were at their very best. I f'ucking love season 3. Season 5 was a stepdown from 1-4, as the plots were getting lazier and some of the jokes felt quite forced. But you know what? It was still good! Season 5 has some definitive classic episodes. And now I'm at the end of season 6 and I still think the episodes are mostly great. In fact, if an episode has Charlie in it, you are rarely ever bored.

The only reason it's a 9 and not a 10 is because even the early episodes have some flaws, like the really really dumb fart jokes. But the good sure outweighs the bad.

If you want a testament of how outrageously funny the show used to be, watch the first 7 seasons. 8 is not as good as it has bigger flaws, but eh it's all right. At least it has Charlie.

Cheers."
This was a bad show with Sheen and is just as unfunny with Kutcher,"May 8, 2012",1,6,7,"I had never seen this show until Kutcher joined, so I made a point of looking at over dozen episodes during the Sheen period, from various seasons, to see what all the fuss was about.

This is a show populated by idiots and annoying people. Cryer's character is an awful person with no redeeming qualities. Sheen's character while slightly more nuanced is still pathetically boring and unfunny. With arrival of Kutcher, the tone has certainly changed but it's still crap.

How a show like this remains on the air for 9 seasons and excellent material like Arrested Development is canceled is simply a testament to the limited IQ of most TV viewers.

People will probably say that since I haven't followed the show from the start that I can't truly appreciate it, that's just an excuse to dismiss this review.

I had never seen The Big Bang Theory until this season and was immediately impressed with the writing and characters. TAAHM has none of that. It's crap in season 1 and it's crap now."
Can be entertaining but not for me.,"Nov 11, 2020",N/A,2,3,Every single episode is boring and every plot twist is obvious which makes this show bad in my opinion. It can be entertaining in case you want to spend some time but not if you are looking for a good show to watch.
10 with Charlie 2 with ashton,"Jul 17, 2019",10,1,1,"Chuck Lorre this comedy. He must have really hated ,Charlie. With the addition of his other slight comedy which for some reason made fortune and spawned another dud but seemingly popular he decided to kill Charlie off. Hell he's worth $800 million. So he can spew his hatred of President Trump and religion all he wants with his shows and vanity card. Seems very unhappy. Too bad. ""Hi, Mr Horned One ""was the Best One Ever."
So good I could watch it over and over,"Dec 1, 2021",10,1,1,"It's one of the best TV shows ever. My favorite is Friends, but Two and a Half men found a place in my heart, too. I definitely will watch it again. The way Charlie, Alan, and Berta played their roles is amazing."
One of a very few funny American comedies.,"Sep 30, 2018",9,1,1,"After watching all the seasons of this show, I've come to the conclusion that Jon Cryer's character, Alan, is more morally compromised than Charlie ever was. Charlie is always consistent with his values. He doesn't pretend to be a goody-goody. Alan is a virtuecrat who violates his own espoused moral values, often. The worse case of this is in season 8 when Alan starts a relationship with Lyndsey while having an affair with his office assistant, Melissa.

Alan abandons his values when his own personal gain is a possibility. In the end, even though I loved the show, I grew to detest Alan. It became visceral."
Just not funny/involving anymore,"Feb 21, 2012",1,3,2,"This is my first ever review. I have no preference between Charlie or Ashton. All I can say is that the show is focused way too much on Ashton and his sexual escapades and there is hardly any involvement of the ancillary characters anymore. I love Conchata Ferrell and have ever since Hot L Baltimore (I'm 52 BTW). The lack of interplay between the characters has just left an empty hull of a show that used to be really funny. Back when Alan and his mother and Judith and Herb used to have a real presence on the show it was funny. Without them being an integral part of the show it all falls flat for me. I have watched the show ever since it premiered and even watch the syndicated episodes when they are on, but I don't expect any of the recent episodes will ever be on my watch list. Sorry, but you might as well send in the clowns..."
"Great Show, Great Charly","Jan 3, 2023",10,1,1,"I binged watched the entire show over the end of 2022 holidays. I loved it. The show pivots around Charly who basically portrays himself. Kudos to Jon Cryer, Conchata, Angus, Holland Taylor (my favorite), Melanie Lynski and the rest. The characters were perfect, the actors clicked along, nobody played out of tune and the writers kept feeding them good lines, but after 8 years the good material was drying up and the show was becoming more vulgar so Charly left/was fired at the right time.

I live in Indiana and it is striking how all the cultural issues addressed in the show are striking here only now. California is ten to twenty years ahead of us."
Cryor takes the cake for me in this show,"Jan 18, 2011",5,3,2,"I'm finally watching and enjoying this show after it ran its course, and the way they strip it now (M-F) is to have an early episode first and then a later one right after. I can see how much fresher and funnier the first eps were compared to the later ones. Among the early comments here someone wondered how long it could run with the same premise. Well. Starting out, it was delightfully witty and cool--I am usually bent over with laughter watching it. Years later, it's jokes just got cruder (everything was a sexual pun) and meaner-- especially directed at Alan who essentially became just a whipping boy. It's really obvious in the way they put the older and newer episodes back to back like that. Jake isn't so funny as a teenager.

The characters were a little two-dimensional to begin with but its sad to see it become so one-dimensional. I simply cannot stand Charlie in the later episodes. (I have the greatest respect for Charlie Sheen and his father-- Wall Street is one of the best films!) He may have had the best one-liners, but so many of them were directed in sadistic mockery at his brother (his bed-wetting, his naivete, his incompetence with women) that it just became unpleasant. It takes an actor's actor to play the straight man to the comic. Cryor was brilliant in this, in his reactions, his obsessions, his idealism, his fussiness, his neurotic sense of responsibility... but while Charlie and Jake and the mother sank into cussed meanness at his expense, his character collapsed into ludicrously stupid (something like this to his ex-wife: ""nothing's changed really, I guess we could start over again... only this time I wouldn't be a virgin"" <--paraphrase). Sheesh! It's as though they finally succeeded in pounding him into the eunuch they believed him to be, or the writer's just catered to a dumber audience. This show just couldn't replicate the same kind of chemistry between two opposite men that you saw in The Odd Couple or even Andy of Mayberry.

One of the most poignant scenes in the show--illustrating that it COULD rise to poignancy--is when Alan confessed tearfully to an attractive woman who kissed him that he ""hadn't been touched for so long."" To a laugh track. There you go.

Raise your glass to Jon Cryor for staying the course. It's easy to be Charlie. It's harder to be Alan. Finally, it's just easy to say the lines because they're so undemanding.

Loving the earlier eps..."
Can't stand the kid!,"Dec 16, 2005",N/A,4,12,"Jake, the 1/2 man of the show's title is the most annoying sitcom child that I've seen in a long time. He's a fat, lazy, lethargic slob who makes Bart Simpson seem like Harvard material. I have never been a serious fan of the show, but Jake is completely unlikable. It is irritating when Jake tries to be a Charlie clone, as we all know that will never happen. Jake is very disrespectful to his father Alan, and walks all over him. Has anyone noticed a resemblance between Jake and Charlie's maid? She could be his mother, which would be more realistic. Maybe, when the series finale comes, it could be revealed that the maid is really Jake's mother who had a one-night stand with some Hell's Angel and that Alan and his ex-wife adopted him. This kid would have been a better fit as Roseanne's son if that show were on now. He could be the poster child for Planned Parenthood. A picture of him in an ad targeted at teens would help cut down the teen pregnancy rate in America."
Still amazing!!,"Aug 10, 2022",10,1,1,"Look, I get it that people hate on the Ashton episodes. But this show is so great, obviously the Charlie episodes are hilarious. I still watch this show today. Never gets old."
Makes me smile EVERY time!,"Apr 30, 2011",10,2,5,"Greetings from Lithuania.

I LOVE this show!!!!!!!!! Every, and i mean EVERY single time i watch this one (and i can proudly say that i watched all episodes) - it simply puts a big smile on my face. Ch.Sheen is Brilliant in this sitcom. J.Cryer is Amazing. I can say - this is the best (OK OK, just for me) sitcom EVER. Writers of this show are the guys, who gave me most of vitamin C i ever had (that's what she said too). Watch this one, this is funny as hell.

P.S. If Ch. Sheen leaves this one, as good as the other cast is, my favorite sitcom is doomed."
"Awesome with Charlie, awesome with Walden...","Jun 10, 2015",9,2,5,"I love this show. It's so funny. Basically, the show has two sections. Season 1 - 8 is the Charlie Sheen section and Season 9 - 12 is the Ashton Kutcher section. I think all the characters are funny and the cast portrayed them very well. Jake is so hilarious around Season 4, 5 and 6. Not saying he's not funny the other seasons. I am glad that Ashton Kutcher got four seasons, as it would've been a big disappointment if the show had ended a season after he started.

This show is about Alan, a newly-divorced man who moves into his brother, Charlie's Malibu beach house, with his ten-year-old son, Jake. A lot of hilarious stuff happens throughout the years. And after Charlie dies, Alan convinces the new owner, Walden, to let him continue living there, rent-free.

Overall, I give this TV show an 8 out of 10, which in my ratings book is: Awesome."
Great with Charlie. Bad with Walden.,"Sep 6, 2020",5,3,2,"This show was one of the best comedies on TV when Charlie was there. But everything went in the toilet when he left. Including the writing.

There was a little growth when Charlie was there. Alan was getting a little cooler. And Charlie was starting to grow up, develop appreciation for family, and responsibility --- a little.

But when he left, the writers turned Alan from a moral, ethical stuff shirt --- into an immoral, unethical, hedonistic, penny pinching idiot. He completely digressed into an unappealing and unlikeable character.

The jokes were clever when Charlie was there. They were stupid, slapstick and juvenile after he left.

I don't blame the management for getting rid of Sheen. His public meltdown was epic. But there was no reason to change the basic formula of the show.

This show was never for everybody. But I'd recommend watching the first 8 years with Charlie. And skipping the final 4 with Walden."
Has everything to be a blast of entertainment.,"Jul 26, 2009",10,3,10,"""Two and a Half Men"" went against all expectations and ended being one of the most creative, witty, and creative sitcoms of the new millennium.

I watched and liked the show for it's clever writing and acting, not because of the clichéd premise. But to get things done perfectly, you need a superb script, innovative direction and situations, and most important; great acting by actors with high histrionic abilities and capacity for comedy.

Charlie Sheen doesn't have problems playing well, Charlie Sheen. He's the soul of the show and delivers one of his best performances ever. Enough said. He freaking rules. Jon Cryer demonstrates he is a serious, talented actor who was born for shining in supporting roles. He brings the perfect equilibrium for Charlie's character. Angus T. Jones is fantastic as the rebel kid who throws the most funny punch lines.

The humor is sexual oriented most of the time but it's written in such a funny manner and with creativity that it will never get vulgar.

The supporting characters are extremely funny and always add the spice. Bertha is by far the most funny of them. She's the only one who can make fun of Charlie. Holland Taylor is delicious as the selfish, eccentric, sometimes evil mother. She's excellent! Overall, this show should last for more seasons and I'm sure it won't lose gas. It will keep on getting up."
Another show I can't get into,"Jun 24, 2011",2,14,27,"Okay, when this show first started, I actually quite liked it. I found the writing quite funny and creative and I liked some of the interplay between the characters. But over time, Two and a Half Men has become duller and more stale, I feel similarly about How I Met Your Mother too. The production values are good as is Charlie Sheen, the only actor to have any real life in his character, but that's it. The writing and jokes that were once creative are now stale and forced, even lacking in subtlety, while the story lines introduce good themes but don't introduce and explore them well and the stories themselves feel rushed and predictable. The characters are not very likable now, some actually are annoying and act like idiots. Now they've replaced Sheen, while I am overall not impressed with the show, I think regardless of his problems I think replacing him is a mistake, without him the show really is going to be a dead weight even with all the other faults it has. All in all, a decent show when it started, now it is unwatchable and hard to get into. 2/10 Bethany Cox"
"The odd couple, with a kid","Oct 3, 2005",N/A,3,8,"I have to say, I lean towards agreeing with 'bad one liners followed by canned laughter'. This style of sitcom certainly had it's day, but after seeing THE OFFICE or ARRESTED Development, it becomes clear why people are tuning into reality shows.

That's not to knock the actors, who try valiantly to beat some humor into the proceedings. Cryer, in particular, has a way with a line that makes it come to life, even on the lifeless episodes. And Sheen does a nice job parodying himself in a way. I even grew to like the little kid, always the most dangerous cast member on a sitcom.

But the show seems to be sinking somehow, losing it's fun, and trying harder at the same time, which I find hard to watch. If they would just be brave and do one without a laugh track, which I personally think is killing the great American sitcom, the writing would HAVE to change, because they'd hear what jokes work rather than try and convince us that a joke is funny by using canned laughter.

Anyway. Not an entirely bad way to kill half an hour, and some talent involved, but not really worth making 'appointment television'."
A review of Two and a Half Men (without Charlie),"Sep 20, 2011",10,3,10,"Two and a Half Men has always been one of my favorite shows on television. I will admit the show is different without Mr. Sheen, but the humor hasn't change. I will go over several things in my review, including the following... the acting, the humor and of course Ashton Kutcher.

The acting has always been solid in the previous shows. Jon Cryer does amazing as always. I was disappointed Angus (Jake) only had two lines. I can feel that the writers are struggling with writing Jake into the story now that he's older, but he delivered the lines perfectly. Berta is also hilarious with the few lines she delivers. Rose also makes a quick cameo that shouldn't disappoint!

The humor of this show is not for everyone. I know for a fact some people may find the first 5-10 minutes of the premiere of the show to be in bad taste. People who loved past episodes of Men should not be disappointed with the humor in this episode. I will admit I laughed out loud several times. Most of the humor in this episode comes from Allen (Cryer). Ashton does deliver some of the humor, but it's Allen's reactions that are priceless.

Now on to what people are most interested in, Ashton Kutcher. Kutchers' acting was barely good in this episode. His acting did improve into the show, but most of the time he seemed awkward, maybe that's his character, I don't know. I can tell that Kutcher grows more into his role as Walden as the show progresses. By the end of the season he should be grown into the character fully.

While the show was good, Ashton could improve a lot. I predict there will be another season after this. The show will get the same ratings it has gotten in the past. Why? Because all of Ashton Kutcher fans are replacing the Charlie Sheen fans that are leaving. Not much has changed in the show, besides Kutcher replacing Sheen. Give this show a go, you won't regret it."
More comedy and fun than before,"Mar 17, 2013",10,3,11,"Well seriously, I don't know what problem do people have with Charlie Sheen being replaced.Yeah I agree the show was excellent when sheen was there but still after the entry of Ashton Kutcher I would say that the show hasn't lost its sheen.And I might want to say to the extent that it has become even more humorous with Alan still being a irritating guy and Walden being the rich guy but at the same time being childlike as well. And the only thing I miss is that now Jake is not cute anymore and it is no fun to watch him anymore. Having said so, the creators are smart enough giving only a minute or two to the character of Jake per episode.

Don't judge the show only because Charlie sheen is absent. Enjoy it for what it is. For me it is still 10 out of 10."
Charlie rules,"Aug 16, 2018",10,1,2,"I gave it a 10 for the earlier seosona Ashton,s seasons i give it 6 maximum"
OK to watch if there's not much else on...,"Feb 12, 2008",1,5,6,"At first, I thought the show was slightly entertaining. The drunken mother and sassy housekeeper made me laugh on more than one occasion. Even Allan's neurotic craziness had me going for awhile.

Last night's episode about Charlie sleeping with Allan's divorce lawyer and hitting on her assistant right in front of her though about made me commit to never watching it again.

Charlie's womanizing ways get tiresome quite quickly. His lack of respect for women is so blatantly obvious and becomes almost offensive after awhile. When there's actually a good plot line that doesn't revolve around Charlie trying to bed as many women as possible in one show, it's fun to watch, but that happens maybe 2% of the time. I'm not a feminist by any means, but I find this show unusually cruel to women and am offended that it completely condones men treating women like disposable trash.

No wonder our world is the way it is. Shows like this are on the air."
Funny,"Mar 22, 2018",10,1,2,I think this is the funniest show out there I would strongly recommend it if you like crash sick humour
"I use to love this show. I was young, I didn't know any better","Nov 27, 2012",3,5,6,"I'm not joking. I used to love this show. It was my favorite show. I looked forward to watching it everyday. Now that I think about it, I don't remember what I liked about the show exactly. But, now I have finally seen the light, and how bad this show is. It's just unfunny, whether Charlie Sheen is the lead or Ashton Kutcher is the lead. It doesn't matter, because the show still sucks. Every single character on here is horrible and unfunny. Every single joke is repetitive and unfunny after the second time. This show gets progressively worse and worse and they're really running out of ideas at this point. At first, I liked the earlier seasons when Jake was younger and actually funny, but he's just bad now. I hate this show. I'm trying to quit watching this show. It's awful. Please don't watch it ever. If you haven't seen it within the last ten years, you are a decent human being. I can see why Angus T. Jones has called this show ""filth"". It's awful, it's horrible, any other word for awful. It's that bad."
10/10 With Charlie Sheen - 5/10 Without,"Oct 16, 2011",N/A,2,4,"A quote from one of the shows fans before Charlie left: ""The today's casting cannot match, and I am speaking just for myself here, the acting level of the former show...The first series were for me, for each and every time I was coming back late from work, like a deep relaxing infusion of pure undiluted small packs of happiness...just hearing Charlie's voice had the effect of instantly soothing the atmosphere even in my most stressed times. That said, some of the episodes, especially on the 7th series were already showing some fatigue,and if I am truly sincere, I was already sensing an altering in Charlie's acting and probably the drug / alcohol's influence that represented, so obviously now, a great part of his life. There was in his first performances a wonderful balance of coolness, smoothness with an evident feeling of a greater potential in the background that the public was able to almost feel throughout the screen. Right from the start he tried to seem relaxed, present, and joyful, but there was something darker, disturbing, stranger and more magnetic in his acting. The direction of the script, quite predictable and boring in it's essence, was involuntarily leading the audience to believe that the show was somehow classic and static, sedentary and safe through and through until Charlie kicked in, every time, practically in every episode, revealing a feisty acting romp proving that though his doing a sitcom, he still has the sass of his best previous days. Charlie proved that he could be full of cheek and charm, falling sometimes in the cheesy part of ordinary but then, with a sudden change of his face, could elevate the show from good to great and rise well above the targeted acting level of such a common production...Charlie showed us his love for acting and this cleavage between doing a sitcom and the unusual and incredible actor that he is made for me the greatness of the show...With sudden bursts of extraordinary, merely unperceived for the inexperienced eye, he was the engine behind the public fascination and finally behind the show's huge success. Charlie is part of an endangered one-of-kind actor breed, ultimately true to his own acting vision. The series having him as a the star are destined to be classic. Unfortunately, today's show, although good and funny, cannot math the complex power and chemistry of it's original ingredients. And, further on, the publicity and advertising that they were trying to make using Charlie Sheen's recent behavior and the media frenzy around it are expressing for me the disillusionment of a generation, the cynicism of today's world, and a deep inquietude and profound questioning for the future's new emerging TV series. Charlie was a very special product of his time, with enormous acting potential (I consider him one of the most emotionally gifted actors Hollywood has ever seen, probably matched only by Robert Downey Jr. and Sean Penn), an interesting combination of his original personality intricate with his complex family acting and education background. His early appearances were already showing a very sensitive and emotionally responsive individual. By the time he had his first major role (in Platoon), and further on (in Wall Street), he magisterially impersonated the man's ability to save himself from himself, with no possible solution to the dilemma other than to try to morally emerge/reborn and vanquish one's degrading status quo; his prodigious performing in that two movies will always remain in my memory as a vivid and deeply caustic criticism towards the society itself, Charlie becoming at the time a(n) (in)voluntary vehicle for many revolutionary ideas in a changing world; under the magic directing of Oliver Stone, he brought up into the light with his characters the deepest of men's amorality, the superficiality of contemporary thought and feeling and surprisingly/paradoxically, hope.

We have to believe that Charlie can and will brake loose from the chains of his actual behavior and will rejoin his path, family and friends. My opinion is that he has made the unfortunate choice of living with people that don't fulfill his real emotional needs; with his new entourage he has gone down on the highways of partying, on a very tortuous and dangerous ride, wasting his human and professional potential. Yes, his new friends will give him some frivolous frugal moments of so called happiness, but in return they will bring back and exponentially enhance the drug related problems and the gradual social isolation. His new acquired friends will act in the faith that the present is more rewarding and meaningful than the unknown tomorrow, embracing some sort of twisted carp diem philosophy, caring only for the easy money and the 15 minutes of fame, as any insignificant ephemeris would do, witnesses and finally collateral victims in Charlie's troubled times. The ones that still love Charlie must carve a tunnel of hope through the dark imprisoning mountain that he built around him. I hope his family and friends as a whole will meet the challenge of this decisive hour. If for one reason or another, his close ones do not come to his aid, I must say that I have doubt about the future and fear about the outcome of his struggle. Even if his motives are at present misunderstood or his behavior might seem erratic, his family and friends have to reach the goal of freeing Charlie from this form of auto-abuse. Before going to bed each night his family and friends must think at his suffering, even if it's well hidden and drowned in alcohol and drugs. They have to prevail because they love him, helping him even more when he's proving he does not love himself, and further on, they must protect the heritage of such extraordinary being and actor."""
One and a Half Men without Sheen,"Jul 27, 2018",10,1,2,"My shortest review ever...watch season 1-8, then punt. Honestly, one of the best written and acted shows ever produced, but clearly hinged on the performance of Charlie Sheen. Ashton is just horrible filling his vacancy..."
Still Rocks!,"May 12, 2020",10,1,2,"Now listen, this show rocks with or without Charlie, I totally accepted Walden as he is and laughed my lungs out. It's hilarious and the constant punch lines about Charlie are really hilarious. Totally worth watching till the end all 12 seasons are fire."
